question,context,ground_truth,keywords,context_answer
Kết hôn khi một bên bị cưỡng ép hoặc lừa dối thì có được coi là hợp pháp không?,"ôn hoặc bị lừa dối kết hôn là vi phạm điều kiện kết hôn quy định tại điểm d khoản 1 Điều 8 của Luật hôn nhân và gia đình. Tuy nhiên, nếu sau khi bị cưỡng ép kết hôn hoặc bị lừa dối kết hôn mà bên bị cưỡng ép kết hôn, bị lừa dối kết hôn đã biết nhưng đã thông cảm, tiếp tục chung sống hòa thuận thì thời điểm đủ điều kiện kết hôn là thời điểm đương sự biết mình bị cưỡng ép, bị lừa dối kết hôn nhưng vẫn tiếp tục sống chung như vợ chồng.","Kết hôn khi một bên bị cưỡng ép hoặc lừa dối không được coi là hợp pháp theo quy định tại điểm d khoản 1 Điều 8 của Luật hôn nhân và gia đình, trừ khi sau khi biết mình bị cưỡng ép hoặc lừa dối, họ vẫn tiếp tục sống chung hòa thuận.","cưỡng ép, lừa dối, kết hôn","Kết hôn khi một bên bị cưỡng ép hoặc lừa dối không hợp pháp, trừ khi họ tiếp tục sống chung hòa thuận sau khi biết mình bị cưỡng ép hoặc lừa dối."
Thời điểm đủ điều kiện kết hôn trong trường hợp một bên đã kết hôn và sau đó được tuyên bố là đã chết?,"Ví dụ 2: Ngày 15-01-2005, chị B kết hôn với anh A. Đến ngày 15-01-2010, chị B lại kết hôn với anh C. Ngày 25-01-2012, Tòa án có quyết định tuyên bố anh A chết. Ngày 12-6-2015, Tòa án mở phiên họp giải quyết yêu cầu hủy việc kết hôn trái pháp luật giữa chị B và anh C. Tại phiên họp, chị B và anh C đều yêu cầu công nhận quan hệ hôn nhân thì chị B và anh C phải cung cấp Quyết định của Tòa án tuyên bố anh A đã chết để xác định thời điểm chị B và anh C đủ điều kiện kết hôn.","Thời điểm đủ điều kiện kết hôn trong trường hợp này là thời điểm có quyết định tuyên bố của Tòa án về việc người chồng trước đó đã chết, vì đó là thời điểm mà người vợ có đủ điều kiện để kết hôn lại.","tuyên bố chết, kết hôn lại, điều kiện kết hôn",Thời điểm đủ điều kiện kết hôn lại là khi có quyết định tuyên bố của Tòa án về việc người chồng trước đó đã chết.
"Vợ chồng có đăng ký kết hôn nhưng mất giấy chứng nhận kết hôn, cần làm gì?","Trong trường hợp này, thời điểm chị B và anh C có đủ điều kiện kết hôn là thời điểm mà Tòa án xác định anh A chết được ghi trong quyết định của Tòa án có hiệu lực pháp luật. Điều 3. Thụ lý, giải quyết đơn yêu cầu hủy việc kết hôn trái pháp luật 1. Cơ quan, tổ chức, cá nhân quy định tại Điều 10 của Luật hôn nhân và gia đình có quyền yêu cầu Tòa án hủy việc kết hôn trái pháp luật. Kèm theo đơn yêu cầu, người yêu cầu phải nộp Giấy chứng nhận kết hôn đối với cá nhân quy định tại khoản 1 Điều 10 của Luật hôn nhân và gia đình hoặc giấy tờ, tài liệu khác chứng minh đã đăng ký kết hôn; tài liệu, chứng cứ chứng minh việc kết hôn vi phạm điều kiện kết hôn quy định tại Điều 8 của Luật hôn nhân và gia đình. Trường hợp vợ chồng có đăng ký kết hôn nhưng không cung cấp được Giấy chứng nhận kết hôn do bị thất lạc thì phải có xác nhận của Ủy ban nhân dân đã cấp Giấy chứng nhận kết hôn.","Theo quy định tại Điều 3 của TTLT-TANDTC-VKSNDTC-BTP, nếu vợ chồng có đăng ký kết hôn nhưng mất giấy chứng nhận kết hôn, họ cần có xác nhận của Ủy ban nhân dân đã cấp Giấy chứng nhận kết hôn để thay thế.","Giấy chứng nhận kết hôn, đăng ký kết hôn, Tòa án",Họ cần có xác nhận của Ủy ban nhân dân đã cấp Giấy chứng nhận kết hôn để thay thế giấy chứng nhận kết hôn bị mất.
Ai có quyền yêu cầu Tòa án hủy việc kết hôn trái pháp luật?,"Trong trường hợp này, thời điểm chị B và anh C có đủ điều kiện kết hôn là thời điểm mà Tòa án xác định anh A chết được ghi trong quyết định của Tòa án có hiệu lực pháp luật. Điều 3. Thụ lý, giải quyết đơn yêu cầu hủy việc kết hôn trái pháp luật 1. Cơ quan, tổ chức, cá nhân quy định tại Điều 10 của Luật hôn nhân và gia đình có quyền yêu cầu Tòa án hủy việc kết hôn trái pháp luật. Kèm theo đơn yêu cầu, người yêu cầu phải nộp Giấy chứng nhận kết hôn đối với cá nhân quy định tại khoản 1 Điều 10 của Luật hôn nhân và gia đình hoặc giấy tờ, tài liệu khác chứng minh đã đăng ký kết hôn; tài liệu, chứng cứ chứng minh việc kết hôn vi phạm điều kiện kết hôn quy định tại Điều 8 của Luật hôn nhân và gia đình. Trường hợp vợ chồng có đăng ký kết hôn nhưng không cung cấp được Giấy chứng nhận kết hôn do bị thất lạc thì phải có xác nhận của Ủy ban nhân dân đã cấp Giấy chứng nhận kết hôn.","Theo quy định tại Điều 3 của TTLT-TANDTC-VKSNDTC-BTP, cơ quan, tổ chức, cá nhân quy định tại Điều 10 của Luật hôn nhân và gia đình có quyền yêu cầu Tòa án hủy việc kết hôn trái pháp luật.","Tòa án, hủy việc kết hôn, Luật hôn nhân","Cơ quan, tổ chức, cá nhân quy định tại Điều 10 của Luật hôn nhân và gia đình có quyền yêu cầu Tòa án hủy việc kết hôn trái pháp luật."
Vợ chồng có thể yêu cầu hủy việc kết hôn trái pháp luật khi nào?,"hận kết hôn. Tòa án thụ lý, giải quyết yêu cầu hủy việc kết hôn trái pháp luật theo quy định tại khoản 6 Điều 3 và Điều 11 của Luật hôn nhân và gia đình khi việc kết hôn đó đã được đăng ký tại đúng cơ quan có thẩm quyền.","Vợ chồng có thể yêu cầu hủy việc kết hôn trái pháp luật khi việc kết hôn đó đã được đăng ký tại đúng cơ quan có thẩm quyền và thuộc một trong các trường hợp quy định tại khoản 6 Điều 3 và Điều 11 của Luật hôn nhân và gia đình. (Khoản 2, Điều 3, Thông tư liên tịch số 01/2016/TTLT-TANDTC-VKSNDTC-BTP)","hủy kết hôn, trái pháp luật, Luật hôn nhân",Khi việc kết hôn đó đã được đăng ký tại đúng cơ quan có thẩm quyền và thuộc một trong các trường hợp quy định tại khoản 6 Điều 3 và Điều 11 của Luật hôn nhân và gia đình.
"Nam, nữ chung sống với nhau như vợ chồng nhưng không có đăng ký kết hôn có thể yêu cầu Tòa án giải quyết không?","Trường hợp việc kết hôn được đăng ký tại không đúng cơ quan có thẩm quyền hoặc trường hợp nam, nữ chung sống với nhau như vợ chồng nhưng không có đăng ký kết hôn mà có yêu cầu Tòa án giải quyết thì thực hiện theo hướng dẫn tại khoản 3 và khoản 4 Điều này.","Nam, nữ chung sống với nhau như vợ chồng nhưng không có đăng ký kết hôn có thể yêu cầu Tòa án giải quyết theo hướng dẫn tại khoản 3 và khoản 4 của Thông tư liên tịch số 01/2016/TTLT-TANDTC-VKSNDTC-BTP.","chung sống, không đăng ký, Tòa án","Có, họ có thể yêu cầu Tòa án giải quyết theo hướng dẫn tại khoản 3 và khoản 4 của Thông tư liên tịch số 01/2016/TTLT-TANDTC-VKSNDTC-BTP."
Vợ chồng có thể ly hôn khi không đăng ký kết hôn không?,cơ quan có thẩm quyền không phân biệt có vi phạm điều kiện kết hôn hay không mà có yêu cầu Tòa án hủy việc kết hôn trái pháp luật hoặc yêu cầu ly hôn thì Tòa án áp dụng Điều 9 của Luật hôn nhân và gia đình tuyên bố không công nhận quan hệ hôn nhân giữa họ đồng thời hủy Giấy chứng nhận kết hôn và thông báo cho cơ quan hộ tịch đã đăng ký kết hôn để xử lý theo quy định tại Điều 13 của Luật hôn nhân và gia đình,"Theo Điều 9 và Điều 14 của Luật hôn nhân và gia đình, nếu vợ chồng không đăng ký kết hôn và có yêu cầu ly hôn, Tòa án sẽ tuyên bố không công nhận quan hệ hôn nhân giữa họ. Nếu có yêu cầu giải quyết về quyền, nghĩa vụ đối với con, tài sản, nghĩa vụ và hợp đồng giữa các bên thì giải quyết theo quy định tại Điều 15 và Điều 16 của Luật hôn nhân và gia đình.","ly hôn, đăng ký kết hôn, Tòa án","Vợ chồng có thể ly hôn khi không đăng ký kết hôn, Tòa án sẽ tuyên bố không công nhận quan hệ hôn nhân giữa họ và giải quyết các vấn đề liên quan theo quy định của Luật hôn nhân và gia đình."
Nam nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn có thể yêu cầu ly hôn không?,"Trường hợp nam, nữ chung sống với nhau như vợ chồng mà không có đăng ký kết hôn và có yêu cầu hủy việc kết hôn trái pháp luật hoặc yêu cầu ly hôn thì Tòa án thụ lý, giải quyết và áp dụng Điều 9 và Điều 14 của Luật hôn nhân và gia đình tuyên bố không công nhận quan hệ hôn nhân giữa họ","Theo Điều 9 và Điều 14 của Luật hôn nhân và gia đình, nam nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn có thể yêu cầu ly hôn. Tòa án sẽ tuyên bố không công nhận quan hệ hôn nhân giữa họ và giải quyết các vấn đề liên quan theo quy định của Luật hôn nhân và gia đình.","ly hôn, chung sống như vợ chồng, Tòa án","Nam nữ chung sống với nhau như vợ chồng mà không đăng ký kết hôn có thể yêu cầu ly hôn, Tòa án sẽ tuyên bố không công nhận quan hệ hôn nhân giữa họ và giải quyết các vấn đề liên quan theo quy định của Luật hôn nhân và gia đình."
Chồng có quyền ly hôn khi vợ mang thai không?,"và gia đình tuyên bố không công nhận quan hệ hôn nhân giữa họ. Nếu có yêu cầu Tòa án giải quyết về quyền, nghĩa vụ của cha, mẹ, con; quan hệ tài sản, nghĩa vụ và hợp đồng giữa các bên thì giải quyết theo quy định tại Điều 15 và Điều 16 của Luật hôn nhân và gia đình. Điều 4. Xử lý yêu cầu hủy việc kết hôn trái pháp luật 1. Khi xem xét, giải quyết yêu cầu có liên quan đến việc hủy kết hôn trái pháp luật, Tòa án phải căn cứ vào yêu cầu của đương sự và điều kiện kết hôn, điều kiện công nhận quan hệ hôn nhân quy định tại Điều 8 và Điều 11 của Luật hôn nhân và gia đình để quyết định. 2. Trường hợp tại thời điểm kết hôn, hai bên kết hôn không có đủ điều kiện kết hôn nhưng sau đó có đủ điều kiện kết hôn quy định tại Điều 8 của Luật hôn nhân và gia đình thì Tòa án xử lý như sau: a) Nếu hai bên kết hôn cùng yêu cầu Tòa án công nhận quan hệ hôn nhân thì Tòa án quyết định công nhận quan hệ hôn nhân đó kể từ thời điểm các bên kết hôn có đủ điều kiện kết hôn.","Theo Điều 51 Luật Hôn nhân và gia đình, chồng có quyền ly hôn khi vợ mang thai. Tuy nhiên, Tòa án chỉ giải quyết cho ly hôn khi vợ chồng có đủ điều kiện kết hôn và đã kết hôn hợp pháp.","ly hôn, vợ mang thai, điều kiện kết hôn","Chồng có thể yêu cầu ly hôn khi vợ mang thai, nhưng cần xem xét các điều kiện kết hôn và quy định của pháp luật."
Hủy kết hôn trái pháp luật được giải quyết như thế nào?,"và gia đình tuyên bố không công nhận quan hệ hôn nhân giữa họ. Nếu có yêu cầu Tòa án giải quyết về quyền, nghĩa vụ của cha, mẹ, con; quan hệ tài sản, nghĩa vụ và hợp đồng giữa các bên thì giải quyết theo quy định tại Điều 15 và Điều 16 của Luật hôn nhân và gia đình. Điều 4. Xử lý yêu cầu hủy việc kết hôn trái pháp luật 1. Khi xem xét, giải quyết yêu cầu có liên quan đến việc hủy kết hôn trái pháp luật, Tòa án phải căn cứ vào yêu cầu của đương sự và điều kiện kết hôn, điều kiện công nhận quan hệ hôn nhân quy định tại Điều 8 và Điều 11 của Luật hôn nhân và gia đình để quyết định. 2. Trường hợp tại thời điểm kết hôn, hai bên kết hôn không có đủ điều kiện kết hôn nhưng sau đó có đủ điều kiện kết hôn quy định tại Điều 8 của Luật hôn nhân và gia đình thì Tòa án xử lý như sau: a) Nếu hai bên kết hôn cùng yêu cầu Tòa án công nhận quan hệ hôn nhân thì Tòa án quyết định công nhận quan hệ hôn nhân đó kể từ thời điểm các bên kết hôn có đủ điều kiện kết hôn.","Theo Điều 4 của TTLT-TANDTC-VKSNDTC-BTP, hủy kết hôn trái pháp luật được giải quyết dựa trên yêu cầu của đương sự và điều kiện kết hôn, điều kiện công nhận quan hệ hôn nhân quy định tại Điều 8 và Điều 11 của Luật hôn nhân và gia đình.","hủy kết hôn, trái pháp luật, điều kiện kết hôn","Hủy kết hôn trái pháp luật được giải quyết dựa trên yêu cầu của đương sự và các điều kiện kết hôn, công nhận quan hệ hôn nhân."
